,ID,User,Date,Tweet
61,1339171592086032386,mangtaeee,2020-12-16 11:32:42,wearthreek jiniso vierlin lookal
62,1339171592077643776,shivani,2020-12-16 11:32:42,dear friend celebrating dectulsipujandiwas
63,1339171592065073152,malakasjisoo,2020-12-16 11:32:42,one hundredi followed vote blink fandomoftheyear tdyawards
64,1339171592052625410,sulllygully,2020-12-16 11:32:42,chelsea record tammy starting season game win draw loss goal scored team goal av
65,1339171592048234499,jokestarj,2020-12-16 11:32:42,wowowo rose blessed seen
66,1339171592048234498,neonjmcity,2020-12-16 11:32:42,want make filozen besties gdmlt ppl reply u want joinlt unflop skksksskw
67,1339171592035835905,ellenchever,2020-12-16 11:32:42,pinterest settled gender discrimination lawsuit brought former coo franoise brougher million cam
68,1339171592035737600,naiajoan,2020-12-16 11:32:42,tucking pulling pant see
69,1339171592031571969,ukcats,2020-12-16 11:32:42,vote kind prayer kind world want live
70,1339171592027262976,kaneee,2020-12-16 11:32:42,adding two bonus track performance segment behind scene wheneveryoucall stream event
71,1339171592023117824,nchudeau,2020-12-16 11:32:42,exciting
72,1339171592019070976,seaweeedbrain,2020-12-16 11:32:42,need dat
73,1339171592019058689,tahaxnx,2020-12-16 11:32:42,vaccine need worry whats
74,1339171592018989056,tjsphotosguy,2020-12-16 11:32:42,good morning abby
75,1339171592018915330,ohmyjmn,2020-12-16 11:32:42,hey army please vote smagdamubeat whosfan check tutorial
76,1339171592014766084,hellochen,2020-12-16 11:32:42,music never problem line everyone balantly hyping tweet likely implies jongdae
77,1339171592010563586,michhhellee,2020-12-16 11:32:42,oh em gee
78,1339171592010534914,streamerwall,2020-12-16 11:32:42,stream rt rts help reach
79,1339171592006459393,kakushavenecia,2020-12-16 11:32:42,mean one
80,1339171591981326338,scarlet,2020-12-16 11:32:42,talia severe head injury need operation safe lifeher family need financial help worldwide belo
81,1339171591981309955,cheesemonkey,2020-12-16 11:32:42,update
82,1339171591981305856,truthsucceeds,2020-12-16 11:32:42,many many others disturbed rick going go away say credibil
83,1339171591977054210,micdropie,2020-12-16 11:32:42,kim legend
84,1339171591972937734,kookits,2020-12-16 11:32:42,favorite song today hotat gregulators bighit dynamite btsarmy
85,1339171591968665607,danyearl,2020-12-16 11:32:42,specter sharppp thank brother
86,1339171591968550912,hdyhnrw,2020-12-16 11:32:42,sexual tension desire move new city start new life
87,1339171591964536832,nicrodrigues,2020-12-16 11:32:42,beyoncs performance throughout year careera thread
88,1339171591960268807,ynnarf,2020-12-16 11:32:42,hate anthony wake
89,1339171591951937539,dotsy,2020-12-16 11:32:42,ffs stop
90,1339171591951937538,kishfantastic,2020-12-16 11:32:42,lewn healthy relationship
91,1339171591951773697,lucky,2020-12-16 11:32:42,rvv squeeze short good ph update time launch pa
92,1339171591943565322,hanifdawar,2020-12-16 11:32:42,ismail thinking child killed day thinking teacher best save c
